CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
716620458,Existing Customer,32,M,1,High School,Single,Less than $40K,Blue,23,3,2,3,4500.0,0,4500.0,0.626,2439,63,0.703,0.0,0.00017468,0.99983
757053408,Existing Customer,47,F,1,Graduate,Single,Unknown,Blue,40,3,1,3,3811.0,1970,1841.0,0.828,3578,76,0.689,0.517,8.6952e-05,0.99991
710197308,Existing Customer,39,F,2,Graduate,Married,Less than $40K,Blue,28,4,3,0,1438.3,0,1438.3,1.017,4089,73,0.872,0.0,6.6354e-05,0.99993
713172408,Existing Customer,54,M,1,Unknown,Married,$80K - $120K,Blue,43,4,2,4,32558.0,2016,30542.0,0.506,1440,37,0.423,0.062,0.00033692,0.99966
714967233,Attrited Customer,52,M,2,Doctorate,Married,$120K +,Blue,34,3,2,3,11188.0,0,11188.0,0.658,2109,47,0.621,0.0,0.9964,0.00359603
715448058,Existing Customer,42,F,1,College,Married,Less than $40K,Blue,36,6,4,1,3050.0,1824,1226.0,0.771,1973,50,1.381,0.598,0.00011963,0.99988
719627133,Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue,37,4,3,4,3277.0,2481,796.0,0.606,3965,59,0.844,0.757,0.00048435,0.99952
787557258,Existing Customer,52,F,4,Graduate,Married,Unknown,Blue,42,5,3,2,1816.0,0,1816.0,0.664,4957,78,0.773,0.0,0.00018864,0.99981
711064008,Existing Customer,48,F,2,Unknown,Single,Less than $40K,Blue,36,4,3,2,9505.0,2390,7115.0,0.727,3616,68,0.619,0.251,0.00019771,0.9998
794510358,Existing Customer,41,M,3,Graduate,Married,$80K - $120K,Blue,26,6,3,3,33408.0,0,33408.0,0.816,3754,77,0.878,0.0,0.0003139,0.99969
720282558,Existing Customer,36,M,2,Graduate,Single,$80K - $120K,Silver,27,5,2,4,34516.0,1568,32948.0,0.878,2873,73,0.659,0.045,0.00029507,0.9997
710255208,Existing Customer,60,M,0,Uneducated,Married,Less than $40K,Blue,49,4,2,4,2094.0,1560,534.0,0.537,1969,41,0.367,0.745,0.00028814,0.99971
717862308,Existing Customer,45,F,2,College,Divorced,$40K - $60K,Blue,27,6,3,2,2901.0,2384,517.0,0.717,3835,78,0.592,0.822,0.00017488,0.99983
720988083,Existing Customer,45,F,1,Uneducated,Married,Less than $40K,Blue,35,3,3,2,1438.3,1080,358.3,0.802,4425,79,0.717,0.751,0.0001736,0.99983
709005633,Attrited Customer,62,M,0,High School,Single,$60K - $80K,Blue,51,3,2,4,18734.0,0,18734.0,0.674,2112,52,0.857,0.0,0.99634,0.00365621
709300458,Existing Customer,48,M,1,Graduate,Unknown,Less than $40K,Blue,43,5,3,3,7199.0,1031,6168.0,1.212,4041,73,0.698,0.143,0.00028395,0.99972
816613158,Existing Customer,48,F,1,Doctorate,Married,Less than $40K,Blue,43,2,3,1,2559.0,1514,1045.0,0.57,4117,69,0.643,0.592,0.00014734,0.99985
710157108,Existing Customer,42,F,3,Graduate,Single,$40K - $60K,Blue,33,6,2,3,3376.0,1661,1715.0,0.618,4629,75,0.923,0.492,0.00019864,0.9998
778942233,Existing Customer,60,F,0,Doctorate,Married,Less than $40K,Blue,45,5,2,4,1438.3,648,790.3,0.477,1267,27,1.077,0.451,0.0004055,0.99959
718123608,Existing Customer,32,M,2,Graduate,Married,$80K - $120K,Blue,36,2,1,2,25438.0,1907,23531.0,0.741,16485,104,0.793,0.075,5.5077e-05,0.99994
716575758,Attrited Customer,50,F,2,College,Unknown,Unknown,Blue,39,2,3,2,1438.3,0,1438.3,0.588,1859,41,0.464,0.0,0.99432,0.00568
717740658,Existing Customer,55,F,2,College,Married,Less than $40K,Blue,45,5,2,4,1850.0,942,908.0,0.757,4134,78,0.625,0.509,0.00031749,0.99968
713879283,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,47,3,1,2,4580.0,1300,3280.0,0.519,1694,34,0.7,0.284,5.5077e-05,0.99994
789248958,Existing Customer,37,F,2,High School,Married,$40K - $60K,Blue,26,3,2,3,2946.0,2517,429.0,0.841,5259,89,0.78,0.854,0.0001861,0.99981
708082083,Existing Customer,45,F,3,High School,Married,Less than $40K,Blue,36,4,3,3,3544.0,1661,1883.0,0.831,15149,111,0.734,0.469,0.00030516,0.99969
817977933,Attrited Customer,63,F,0,Graduate,Single,Less than $40K,Blue,56,5,6,3,1931.0,1531,400.0,0.778,2288,48,0.714,0.793,0.99515,0.00485493
770926158,Existing Customer,51,F,0,Doctorate,Single,Less than $40K,Blue,38,2,2,2,4132.0,2517,1615.0,0.786,13820,129,0.697,0.609,0.00014134,0.99986
713339283,Existing Customer,54,M,3,Unknown,Married,$60K - $80K,Blue,39,4,3,4,6348.0,798,5550.0,1.042,4135,71,0.972,0.126,0.00058851,0.99941
789666333,Existing Customer,39,M,2,Graduate,Single,$60K - $80K,Blue,24,2,3,2,21679.0,1073,20606.0,0.745,15581,115,0.797,0.049,0.00017987,0.99982
721112508,Existing Customer,48,F,3,Graduate,Married,Less than $40K,Blue,40,2,3,1,5298.0,0,5298.0,0.686,4834,80,0.667,0.0,0.00011256,0.99989
720467583,Existing Customer,52,M,2,High School,Single,$80K - $120K,Blue,46,3,3,2,34516.0,2517,31999.0,0.685,3072,67,0.675,0.073,0.00017486,0.99983
713668158,Attrited Customer,31,F,1,Uneducated,Single,Unknown,Blue,36,2,3,3,21067.0,0,21067.0,0.995,9212,71,0.821,0.0,0.99659,0.00341249
709375158,Existing Customer,29,F,1,Unknown,Unknown,Unknown,Blue,36,6,3,2,7270.0,1835,5435.0,0.86,3759,69,0.917,0.252,0.00018558,0.99981
711433908,Attrited Customer,41,F,3,Uneducated,Married,Less than $40K,Blue,30,1,2,3,9491.0,0,9491.0,1.056,9061,51,1.684,0.0,0.99513,0.00487126
779751258,Existing Customer,45,F,2,Graduate,Married,Less than $40K,Blue,31,2,1,2,1946.0,1183,763.0,0.806,8423,82,0.708,0.608,5.5077e-05,0.99994
788620083,Existing Customer,50,F,3,Graduate,Single,Less than $40K,Blue,41,2,2,2,2382.0,1419,963.0,0.78,4563,89,0.712,0.596,0.00011811,0.99988
712322058,Existing Customer,40,F,3,High School,Married,Less than $40K,Blue,32,5,1,3,2046.0,1694,352.0,0.853,3432,49,0.96,0.828,9.3448e-05,0.99991
719366358,Existing Customer,51,M,3,High School,Married,$120K +,Blue,40,6,3,2,7319.0,1692,5627.0,0.701,1233,29,0.611,0.231,0.00018145,0.99982
769662033,Existing Customer,45,F,2,College,Unknown,Less than $40K,Blue,29,2,2,3,1438.3,0,1438.3,0.729,5025,85,0.735,0.0,0.00018612,0.99981
708595158,Existing Customer,27,F,0,Graduate,Single,Less than $40K,Blue,36,6,1,2,1677.0,1598,79.0,0.994,2389,43,0.536,0.953,4.7263e-05,0.99995
716317458,Attrited Customer,51,F,2,Post-Graduate,Single,Less than $40K,Blue,36,3,3,3,4281.0,0,4281.0,0.447,1723,44,0.375,0.0,0.9972,0.00280059
772857558,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Blue,30,4,2,3,2257.0,896,1361.0,0.68,4618,94,0.516,0.397,0.00020077,0.9998
771335358,Existing Customer,37,M,2,College,Divorced,$40K - $60K,Blue,24,3,3,4,8120.0,2098,6022.0,0.826,3161,54,0.688,0.258,0.00050168,0.9995
713773458,Existing Customer,52,M,2,High School,Single,$60K - $80K,Blue,45,5,3,2,7567.0,1173,6394.0,0.541,1435,32,0.6,0.155,0.00017486,0.99983
713379258,Existing Customer,32,F,1,High School,Married,Less than $40K,Blue,36,1,1,2,4097.0,1293,2804.0,0.671,15925,100,0.786,0.316,5.0256e-05,0.99995
713629533,Existing Customer,35,F,1,Uneducated,Married,Less than $40K,Blue,36,3,2,3,1438.3,670,768.3,0.909,4321,83,0.804,0.466,0.00018475,0.99982
715773783,Attrited Customer,44,F,2,Graduate,Single,$40K - $60K,Blue,35,2,3,4,4196.0,561,3635.0,0.741,2558,38,0.652,0.134,0.99807,0.00193323
715287708,Existing Customer,41,F,4,Graduate,Married,$40K - $60K,Blue,33,6,3,2,6230.0,1173,5057.0,0.607,3769,77,0.54,0.188,0.00018864,0.99981
720827133,Attrited Customer,43,F,3,Doctorate,Single,Less than $40K,Blue,30,1,2,2,6261.0,463,5798.0,0.889,8132,64,0.6,0.074,0.99418,0.00582
778606308,Attrited Customer,45,M,3,Uneducated,Divorced,$80K - $120K,Blue,25,2,2,3,6614.0,1881,4733.0,0.737,3016,51,0.645,0.284,0.99513,0.00487126
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,7.6642e-06,0.99999
818699208,Attrited Customer,47,F,4,Post-Graduate,Married,Unknown,Blue,42,4,4,4,6451.0,0,6451.0,0.706,2400,43,0.433,0.0,0.9987,0.00129704
713043183,Existing Customer,61,M,0,High School,Single,$40K - $60K,Blue,48,3,2,4,2572.0,1969,603.0,0.644,4313,84,0.787,0.766,0.00027243,0.99973
788552658,Existing Customer,46,F,4,Uneducated,Married,Less than $40K,Blue,30,3,3,1,2479.0,1759,720.0,0.81,4562,86,0.72,0.71,0.00011697,0.99988
712423233,Existing Customer,44,M,3,High School,Divorced,$60K - $80K,Blue,36,4,3,1,22919.0,1368,21551.0,0.942,3752,71,0.919,0.06,0.00010943,0.99989
711802758,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,53,4,1,2,6128.0,1895,4233.0,0.583,1700,42,0.355,0.309,5.1697e-05,0.99995
780200208,Existing Customer,39,F,2,Unknown,Single,$40K - $60K,Blue,29,2,2,2,11135.0,1563,9572.0,0.746,8777,112,0.778,0.14,0.00012511,0.99987
714266883,Attrited Customer,54,F,4,Post-Graduate,Unknown,Less than $40K,Blue,44,5,3,3,2440.0,503,1937.0,0.415,2334,51,0.594,0.206,0.99733,0.00267072
716530533,Existing Customer,43,F,2,Uneducated,Single,Less than $40K,Blue,36,3,1,4,2573.0,1640,933.0,0.873,4094,77,0.638,0.637,0.00016249,0.99984
787578183,Existing Customer,36,M,3,High School,Single,$80K - $120K,Blue,28,5,3,2,1438.3,0,1438.3,1.041,3204,68,0.838,0.0,0.00018145,0.99982
712753758,Existing Customer,57,F,1,High School,Single,Less than $40K,Blue,41,4,4,3,2442.0,1699,743.0,0.639,4313,75,0.562,0.696,0.00033359,0.99967
712297683,Attrited Customer,47,F,3,College,Married,Less than $40K,Blue,35,6,3,2,1781.0,0,1781.0,0.693,2196,35,0.75,0.0,0.99452,0.00548
721349883,Existing Customer,51,F,4,Graduate,Single,Less than $40K,Blue,39,3,2,1,2847.0,2082,765.0,0.787,3672,59,0.553,0.731,7.1987e-05,0.99993
778661358,Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,36,2,3,2,2474.0,2143,331.0,1.53,1541,40,1.0,0.866,0.00018558,0.99981
720093333,Existing Customer,41,M,3,Post-Graduate,Divorced,$120K +,Blue,29,6,1,3,3491.0,2506,985.0,0.873,4855,79,0.58,0.718,0.00011311,0.99989
716313858,Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,36,6,4,0,3319.0,913,2406.0,0.612,4560,84,1.049,0.275,8.3212e-05,0.99992
713276733,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,3,1,3,3562.0,2107,1455.0,0.394,4490,90,0.667,0.592,9.7154e-05,0.9999
779209083,Existing Customer,56,M,3,Unknown,Married,$40K - $60K,Blue,45,6,2,4,1813.0,1387,426.0,0.406,1468,32,0.231,0.765,0.00037246,0.99963
772637058,Existing Customer,34,M,3,Uneducated,Married,$60K - $80K,Blue,24,3,1,4,8167.0,1740,6427.0,1.455,2141,51,0.7,0.213,0.00016861,0.99983
779809908,Existing Customer,44,F,3,High School,Single,Less than $40K,Blue,34,2,2,2,3084.0,0,3084.0,0.861,12739,96,0.882,0.0,0.00011482,0.99989
786097158,Existing Customer,48,M,2,High School,Married,$40K - $60K,Blue,42,2,3,2,8786.0,1559,7227.0,0.909,8575,92,0.736,0.177,0.00017486,0.99983
714432108,Existing Customer,56,F,3,Uneducated,Married,$40K - $60K,Blue,46,5,3,3,2402.0,1892,510.0,0.645,4610,76,0.81,0.788,0.00032275,0.99968
711176133,Existing Customer,28,M,0,High School,Single,Less than $40K,Blue,36,6,3,4,2295.0,1015,1280.0,1.04,3366,82,0.708,0.442,0.00043049,0.99957
714074808,Existing Customer,58,F,0,High School,Married,Less than $40K,Blue,36,3,3,1,2241.0,1670,571.0,0.704,4653,75,0.63,0.745,9.0493e-05,0.99991
779474958,Existing Customer,35,F,3,Unknown,Single,Less than $40K,Blue,17,6,1,1,2956.0,1823,1133.0,0.969,2144,58,0.812,0.617,3.7884e-05,0.99996
785529708,Existing Customer,59,M,1,Graduate,Single,$120K +,Blue,53,6,2,2,34516.0,0,34516.0,0.711,4333,70,0.628,0.0,0.00010684,0.99989
771942333,Existing Customer,65,M,1,College,Single,Less than $40K,Blue,54,5,2,2,5363.0,1309,4054.0,0.574,3855,63,0.703,0.244,0.00010387,0.9999
771783333,Attrited Customer,49,F,1,Uneducated,Divorced,$40K - $60K,Blue,37,6,2,2,2173.0,0,2173.0,0.652,2379,57,0.781,0.0,0.99098,0.00902
778399008,Existing Customer,50,M,0,High School,Married,$80K - $120K,Blue,30,3,4,2,4252.0,0,4252.0,0.478,1598,45,0.324,0.0,0.00018134,0.99982
789354783,Existing Customer,45,F,3,Unknown,Single,Less than $40K,Blue,32,5,3,0,2329.0,1465,864.0,0.815,4286,86,0.72,0.629,7.5683e-05,0.99992
718775808,Existing Customer,42,F,3,Unknown,Married,Unknown,Blue,31,3,1,4,7762.0,1319,6443.0,0.793,5153,77,0.75,0.17,0.00018025,0.99982
718737708,Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,33,3,5,3,31458.0,1202,30256.0,0.673,4202,66,0.61,0.038,0.00035434,0.99965
718296558,Attrited Customer,44,F,4,Unknown,Married,$40K - $60K,Blue,31,4,3,5,1691.0,1327,364.0,0.774,2345,33,0.435,0.785,0.99903,0.00097
718023708,Existing Customer,53,F,2,Uneducated,Single,$40K - $60K,Blue,42,2,1,3,14839.0,2226,12613.0,0.828,14625,115,0.769,0.15,9.5249e-05,0.9999
715691808,Existing Customer,41,F,3,Uneducated,Divorced,Less than $40K,Blue,30,5,3,4,7764.0,621,7143.0,0.67,3955,72,0.756,0.08,0.00055052,0.99945
772580958,Existing Customer,57,F,2,Uneducated,Married,Unknown,Blue,47,3,2,2,3136.0,2138,998.0,0.699,4930,80,0.739,0.682,0.00011703,0.99988
711221958,Attrited Customer,43,F,3,Graduate,Single,$40K - $60K,Blue,26,3,2,2,2867.0,0,2867.0,0.703,2646,41,0.464,0.0,0.99161,0.00839
739317558,Existing Customer,48,M,5,Graduate,Married,$80K - $120K,Blue,35,4,3,3,9030.0,2369,6661.0,0.662,4899,84,0.867,0.262,0.00031231,0.99969
789601308,Existing Customer,58,M,3,Unknown,Married,$120K +,Blue,52,4,5,3,12398.0,0,12398.0,0.785,4228,93,0.788,0.0,0.00038536,0.99961
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,4,5,3,12302.0,1632,10670.0,1.509,1483,41,0.519,0.133,0.00034086,0.99966
720379533,Attrited Customer,47,M,3,Unknown,Unknown,$120K +,Blue,36,1,3,4,3952.0,0,3952.0,0.809,2066,37,0.233,0.0,0.9983,0.00169532
789562383,Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue,30,2,3,0,1438.3,583,855.3,0.888,1259,24,1.0,0.405,6.0547e-05,0.99994
713916708,Existing Customer,53,M,3,Graduate,Single,$120K +,Gold,43,3,1,3,34516.0,2435,32081.0,0.77,7758,98,0.719,0.071,0.00011075,0.99989
716974383,Existing Customer,41,M,5,Graduate,Single,$80K - $120K,Blue,28,3,2,0,2491.0,1979,512.0,0.629,1911,35,0.75,0.794,4.3347e-05,0.99996
811974483,Existing Customer,56,M,2,Graduate,Single,$40K - $60K,Blue,51,1,3,1,1466.0,723,743.0,0.793,5110,86,0.593,0.493,0.00010848,0.99989
815840283,Existing Customer,51,F,2,Unknown,Married,Less than $40K,Blue,46,1,6,3,7744.0,1893,5851.0,0.813,16059,124,0.722,0.244,0.00026249,0.99974
718010133,Existing Customer,46,F,2,Post-Graduate,Single,Less than $40K,Blue,35,4,2,3,2888.0,1641,1247.0,0.976,3703,61,1.179,0.568,0.00022525,0.99977
719512983,Attrited Customer,47,F,4,Graduate,Single,Less than $40K,Blue,39,3,3,6,1438.3,0,1438.3,0.854,2295,51,0.545,0.0,0.99939,0.00060765
710155983,Attrited Customer,52,M,1,Unknown,Single,$40K - $60K,Blue,36,3,3,4,4826.0,0,4826.0,0.954,8585,62,1.0,0.0,0.99813,0.00187387
778456983,Existing Customer,38,F,2,Unknown,Single,Less than $40K,Blue,23,5,3,3,2222.0,1205,1017.0,0.395,1823,49,0.361,0.542,0.00033251,0.99967
721109358,Existing Customer,39,M,3,High School,Married,$60K - $80K,Blue,27,6,2,1,2583.0,0,2583.0,0.781,4162,87,0.812,0.0,6.9242e-05,0.99993
719368533,Existing Customer,41,F,2,Doctorate,Married,Unknown,Silver,28,1,3,3,32250.0,1289,30961.0,0.703,15785,100,0.786,0.04,0.00039552,0.9996
807379833,Attrited Customer,48,M,3,Graduate,Divorced,$40K - $60K,Blue,43,2,3,3,9104.0,145,8959.0,0.765,2563,34,0.417,0.016,0.99683,0.00317458
720522633,Existing Customer,44,M,3,College,Married,$40K - $60K,Silver,36,2,1,2,16199.0,1533,14666.0,0.855,8150,106,0.631,0.095,5.0206e-05,0.99995
719359458,Existing Customer,49,F,2,Uneducated,Single,Less than $40K,Blue,42,6,3,2,1991.0,0,1991.0,0.954,4527,66,0.61,0.0,0.00018494,0.99982
711392508,Existing Customer,37,F,2,Graduate,Married,Less than $40K,Blue,25,4,2,1,1438.3,0,1438.3,0.741,4513,75,0.744,0.0,6.864e-05,0.99993
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,1,2,2377.0,1649,728.0,0.93,1378,26,1.167,0.694,5.3542e-05,0.99995
817288458,Existing Customer,33,F,2,Graduate,Single,Less than $40K,Blue,19,3,2,3,5141.0,1737,3404.0,0.985,5859,82,0.783,0.338,0.00019143,0.99981
789105183,Existing Customer,54,M,3,Post-Graduate,Single,$80K - $120K,Silver,42,3,1,2,34516.0,2488,32028.0,0.552,4401,87,0.776,0.072,6.0763e-05,0.99994
719169783,Existing Customer,52,F,2,Uneducated,Married,Less than $40K,Blue,43,3,3,3,6897.0,640,6257.0,1.052,2781,57,0.839,0.093,0.00031104,0.99969
772394883,Attrited Customer,60,F,1,Uneducated,Single,Unknown,Blue,50,3,6,3,7359.0,0,7359.0,0.768,2869,43,0.433,0.0,0.99568,0.00431907
714060408,Existing Customer,57,F,3,High School,Single,Unknown,Blue,37,3,1,2,3052.0,1603,1449.0,0.776,4210,82,0.907,0.525,5.5559e-05,0.99994
817108083,Attrited Customer,55,M,3,Unknown,Single,$60K - $80K,Blue,35,3,3,3,14266.0,1341,12925.0,0.309,1625,34,0.36,0.094,0.99711,0.00288892
715043508,Existing Customer,38,M,2,Graduate,Unknown,$40K - $60K,Blue,36,4,3,4,9515.0,0,9515.0,0.79,4642,61,0.605,0.0,0.000516,0.99948
820282383,Attrited Customer,45,F,2,Graduate,Married,Less than $40K,Blue,40,6,3,3,5848.0,2517,3331.0,0.561,2000,32,0.28,0.43,0.99671,0.00329379
799717458,Existing Customer,42,F,3,Unknown,Married,Less than $40K,Blue,36,2,3,3,2515.0,1453,1062.0,0.649,4025,74,0.805,0.578,0.00034503,0.99965
713480583,Existing Customer,46,F,3,High School,Married,Unknown,Blue,36,5,2,2,4668.0,0,4668.0,0.89,1612,47,1.474,0.0,0.00011482,0.99989
